id_dokumenta,prejeto,,placnik,prejemnik,referenca_dobro,znesek,datum_placila,zastopnik_dolznika,upnik_trr,upnik_banka,dolznik_trr,dolznik_banka
10001455,2017-05-29,17:02:49,OBČINA IZOLA,"CENTER ZA KULTURO, ŠPORT IN PRIREDITVE IZOLA CENTRO PER LA CULTURA, LO SPORT E LE MANIFESTAZIONI ISOLA",SI0000086-2017,1444.70,2017-06-30,Kolenc Igor,SI56012406030722569,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10001473,2017-05-29,17:07:09,OBČINA IZOLA,"CENTER ZA KULTURO, ŠPORT IN PRIREDITVE IZOLA CENTRO PER LA CULTURA, LO SPORT E LE MANIFESTAZIONI ISOLA",SI0000087-2017,381.56,2017-06-30,Kolenc Igor,SI56012406030722569,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10001672,2017-05-29,18:25:40,OBČINA IZOLA,"GOSTILNA SIDRO, VLADIMIR GODINA S.P.",SI0010-2017,179.99,2017-07-12,Kolenc Igor,SI56101000038461465,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10002776,2017-05-29,23:55:26,OBČINA IZOLA,"Okrepčevalnica-gril PRI PEROTU, Predrag Dvorančić, s.p.",SI002-100-34,111.50,2017-06-30,Kolenc Igor,SI56101000047423295,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10002780,2017-05-30,00:00:33,OBČINA IZOLA,"Okrepčevalnica-gril PRI PEROTU, Predrag Dvorančić, s.p.",SI002-100-33,152.00,2017-06-30,Kolenc Igor,SI56101000047423295,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10002781,2017-05-30,00:00:34,OBČINA IZOLA,"Okrepčevalnica-gril PRI PEROTU, Predrag Dvorančić, s.p.",SI002-100-32,94.50,2017-06-30,Kolenc Igor,SI56101000047423295,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10004347,2017-05-30,09:02:48,OBČINA IZOLA,"VZGOJNO IZOBRAŽEVALNI ZAVOD VRTEC MAVRICA IZOLA ENTE PUBBLICO DI EDUCAZIONE ED ISTRUZIONE ASILO ""MAVRICA"" ISOLA",SI0041-0001200,66.21,2017-06-30,Kolenc Igor,SI56012406030635269,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10005503,2017-05-30,10:17:34,OBČINA IZOLA,SKAT - Trgovina d.o.o.,SI006743-1001267,36.26,2017-07-10,Kolenc Igor,SI56101000000034915,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10009000,2017-05-30,13:07:05,OBČINA IZOLA,"PRIMORSKE NOVICE, Časopisno - založniška družba, d.o.o., Koper Azienda giornalistico - editoriale, s.r.l., Capodistria",SI0066641,497.76,2017-07-10,Kolenc Igor,SI56101000000059165,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10009203,2017-05-30,13:22:50,OBČINA IZOLA,DRUŠTVO LIKOVNIH UMETNIKOV ''INSULA'' IZOLA,SI0003-17,3598.90,2017-07-05,Kolenc Igor,SI56101000029190787,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10010012,2017-05-30,14:17:39,OBČINA IZOLA,"CENTER ZA KULTURO, ŠPORT IN PRIREDITVE IZOLA CENTRO PER LA CULTURA, LO SPORT E LE MANIFESTAZIONI ISOLA",SI0000088-2017,3246.37,2017-06-30,Kolenc Igor,SI56012406030722569,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10010316,2017-05-30,14:41:59,OBČINA IZOLA,"ALEKS 13, Urejanje in vzdrževanje zelenih površin ter storitve, Nives Jakljič, s.p.",SI002017-14,1354.00,2017-07-07,Kolenc Igor,SI56101000051062444,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10010752,2017-05-30,15:13:50,OBČINA IZOLA,"VZDRŽEVANJE OBJEKTOV IN HIŠNIŠKA DELA, DAVID VODIŠEK s.p.",SI0017-16510801,370.00,2017-07-14,Kolenc Igor,SI56610000005866325,HDELSI22XXX,SI56012400100006381,BSLJSI2XXXX
10011802,2017-05-30,17:03:37,OBČINA IZOLA,"GORIŠKA LOKALNA ENERGETSKA AGENCIJA, Nova Gorica",00 162,657.52,,Kolenc Igor,SI56047500001242330,KBMASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10012131,2017-05-30,17:04:16,OBČINA IZOLA,INFONOVA nove informacijske rešitve d.o.o.,SI001700605,115.61,2017-07-14,Kolenc Igor,SI56031601000036217,SKBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10012880,2017-05-30,17:05:43,OBČINA IZOLA,"GORIŠKA LOKALNA ENERGETSKA AGENCIJA, Nova Gorica",00 185,122.16,,Kolenc Igor,SI56047500001242330,KBMASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10015976,2017-05-31,08:10:07,OBČINA IZOLA,"SINTAL OBALA, družba za varovanje d.o.o.",SI00109136-17890102595,81.92,2017-07-10,Kolenc Igor,SI56101000036767263,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10018167,2017-05-31,09:47:29,OBČINA IZOLA,"A1 Slovenija, telekomunikacijske storitve, d. d.",SI000090357540-88807110,20.00,2017-07-14,Kolenc Igor,SI56290000059800357,BACXSI22XXX,SI56012400100006381,BSLJSI2XXXX
10023819,2017-05-31,13:09:21,OBČINA IZOLA,"3 PORT - Informacijski inženiring, d.o.o. Koper",,805.20,,Kolenc Igor,SI56101000035484632,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10025338,2017-05-31,13:20:16,OBČINA IZOLA,CENTER JEREB prodaja in servisiranje vozil d.o.o.,,168.69,,Kolenc Igor,SI56031351000298760,SKBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
