prejeto_at_y_m,id_dokumenta,znesek,non_profit,public_sec,private_sec,class
2016-05,2908789649,879303.0,4,96,416,1444
2016-06,2441369434,675885.0,2,71,333,1143
2016-07,2657183682,840179.0,0,94,325,1163
2016-08,2509994773,842013.0,2,80,296,1050
2016-09,3222040950,1132653.0,2,101,360,1284
2016-10,3007734827,1506940.0,1,84,326,1147
2016-11,3961340833,1509680.0,4,117,394,1420
2016-12,3477391866,884673.0,4,81,346,1204
2017-01,3945765718,678435.0,4,82,381,1311
2017-02,3809950940,897194.0,5,84,345,1208
2017-03,3871757766,793427.0,12,93,319,1155
2017-04,4224565242,967146.0,14,93,338,1214
2017-05,4279025034,894285.0,15,97,323,1178
2017-06,4631575775,1175052.0,15,97,341,1232
2017-07,5089553094,1181882.0,12,115,354,1304
2017-08,4830127061,1018895.0,16,90,338,1210
2017-09,4633871021,1218357.0,14,95,305,1119
2017-10,5646724284,1186802.0,13,104,371,1334
2017-11,6559710038,1717061.0,32,120,396,1460
2017-12,4818641377,1295198.0,7,87,296,1069
2018-01,4408743415,876643.0,7,75,265,952
